config_name,batch_label,batch_size,learning_rate,seed,train_acc,val_acc,test_acc,macro_f1,epochs,elapsed_s
mini64_lr1e-03,mini64,64,0.001,3,0.8517365990764907,0.8343385605146764,0.7104525430516619,0.6249881524493481,500,108.83608242199989
mini64_lr1e-03,mini64,64,0.001,4,0.8496285886368199,0.848411741053478,0.7104525430516619,0.6268693912276432,500,107.28476634199978
mini64_lr1e-04,mini64,64,0.0001,0,0.4557317807669143,0.4680337756332931,0.3904685622747297,0.2965360702391765,500,111.65681114700055
mini64_lr1e-04,mini64,64,0.0001,1,0.4888576591045975,0.48411741053478086,0.4173007609130957,0.3278791909658254,500,110.70548086599956
mini64_lr1e-04,mini64,64,0.0001,2,0.4681790805059225,0.4724567752312023,0.40648778534241087,0.3388165782315581,500,112.57043386300029
mini64_lr1e-04,mini64,64,0.0001,3,0.4842401124272234,0.4825090470446321,0.4185022026431718,0.3369177156256904,500,113.2583364279999
mini64_lr1e-04,mini64,64,0.0001,4,0.45994780164625576,0.4620024125452352,0.40328394072887463,0.34702449976634986,500,115.28093460800119
mini128_lr1e-01,mini128,128,0.1,0,0.9912668138927926,0.9348612786489746,0.8305967160592711,0.7835006557737177,417,85.51131796200025
mini128_lr1e-01,mini128,128,0.1,1,0.9932744428829552,0.9312424607961399,0.8301962354825791,0.7835766625200092,500,102.7065512019999
mini128_lr1e-01,mini128,128,0.1,2,0.9909656695442682,0.9320466425412143,0.8281938325991189,0.7806639577617129,406,80.52352288899965
mini128_lr1e-01,mini128,128,0.1,3,0.993876731580004,0.9280257338158424,0.828994793752503,0.7821293995696188,461,91.30615613499867
mini128_lr1e-01,mini128,128,0.1,4,0.9885565147560731,0.9244069159630076,0.8229875851021226,0.7755791959138055,300,59.684214093000264
mini128_lr1e-02,mini128,128,0.01,0,0.9443886769724955,0.9091274628065943,0.7661193432118543,0.6770877789662041,500,100.58473366399994
