phase,strategy,joint_name,split_kind,split_id,seed,scaler,optimizer,learning_rate,batch_size,weight_decay,epochs,train_size,val_size,threshold_selected,train_mse,val_mse,train_auc_pr,val_auc_pr,train_precision,train_recall,train_f1,val_precision,val_recall,val_f1,generalization_gap_auc_pr,generalization_gap_f1,generalization_gap_mse,stopped_at
optimizer_screening,S3,,cv_fold,2,42,min-max,gd,0.005,-1,0.0,100,5101,1275,0.5090906481139459,0.04649774205834244,0.045431925216131146,0.3236734915854341,0.32054132395325396,0.3027806385169928,0.49746192893401014,0.37644046094750316,0.31365313653136534,0.5743243243243243,0.405727923627685,0.0031321676321801606,-0.02928746268018184,-0.001065816842211291,100
optimizer_screening,S3,,cv_fold,3,42,min-max,gd,0.005,-1,0.0,100,5101,1275,0.5117186919042399,0.04629664978881099,0.046187822449280914,0.3196983768466842,0.3405586251804869,0.30943396226415093,0.41624365482233505,0.35497835497835495,0.34444444444444444,0.4189189189189189,0.3780487804878049,-0.020860248333802733,-0.023070425509449932,-0.0001088273395300765,100
optimizer_screening,S3,,cv_fold,4,42,min-max,gd,0.005,-1,0.0,100,5102,1274,0.5069938004364469,0.04624625984060511,0.04648002990049413,0.3061473988120763,0.3450726520507543,0.2826855123674912,0.5405405405405406,0.3712296983758701,0.28164556962025317,0.6054421768707483,0.3844492440604752,-0.038925253238678015,-0.013219545684605094,0.00023377005988901856,100
optimizer_screening,S3,,cv_fold,0,42,min-max,gd,0.01,-1,0.0,100,5100,1276,0.5032304865753043,0.04548278933303503,0.04698423501310064,0.3513835160069888,0.3250986641536493,0.2986899563318777,0.5786802030456852,0.39400921658986177,0.30824372759856633,0.581081081081081,0.4028103044496487,0.026284851853339508,-0.008801087859786949,0.001501445680065605,100
optimizer_screening,S3,,cv_fold,1,42,min-max,gd,0.01,-1,0.0,100,5100,1276,0.5067362634258602,0.045842677810206935,0.04524257472946239,0.36344228065442363,0.35267884811549544,0.332541567695962,0.47377326565143824,0.39078855547801816,0.37894736842105264,0.4864864864864865,0.42603550295857995,0.010763432538928197,-0.035246947480561786,-0.0006001030807445476,100
optimizer_screening,S3,,cv_fold,2,42,min-max,gd,0.01,-1,0.0,100,5101,1275,0.5055586029935242,0.04594256565669718,0.044857925840748235,0.36046512081980603,0.35329875490487195,0.3306997742663657,0.4957698815566836,0.3967501692620176,0.33725490196078434,0.581081081081081,0.42679900744416877,0.007166365914934081,-0.03004883818215115,-0.0010846398159489457,100
optimizer_screening,S3,,cv_fold,3,42,min-max,gd,0.01,-1,0.0,100,5101,1275,0.5019260591024594,0.04572364998415523,0.04564503407371265,0.3559668676584189,0.3762670865064384,0.29411764705882354,0.6175972927241963,0.39847161572052403,0.31316725978647686,0.5945945945945946,0.41025641025641024,-0.020300218848019524,-0.011784794535886212,-7.86159104425796e-05,100
optimizer_screening,S3,,cv_fold,4,42,min-max,gd,0.01,-1,0.0,100,5102,1274,0.5049926341850797,0.045671464297288016,0.04594351972241337,0.3396474437049482,0.38023418451596824,0.319910514541387,0.4831081081081081,0.3849259757738897,0.3253968253968254,0.5578231292517006,0.4110275689223058,-0.04058674081102004,-0.02610159314841609,0.0002720554251253518,100
optimizer_screening,S3,,cv_fold,0,42,min-max,sgd,0.0005,1,0.0,100,5100,1276,0.6395003083596869,0.02087483800028632,0.021280793572971416,0.9274270087949462,0.9188575524681553,0.9689320388349515,0.8443316412859561,0.9023508137432187,0.9844961240310077,0.8581081081081081,0.9169675090252708,0.008569456326790958,-0.014616695282052117,0.00040595557268509677,100
optimizer_screening,S3,,cv_fold,1,42,min-max,sgd,0.0005,1,0.0,100,5100,1276,0.6107361120173517,0.021198715088397185,0.020582529196662622,0.9291553010369192,0.9112474053213523,0.9258589511754068,0.8663282571912013,0.895104895104895,0.9473684210526315,0.8513513513513513,0.8967971530249111,0.017907895715566946,-0.0016922579200161492,-0.0006161858917345629,100
